territorio_codigo;territorio_nome;populacao_2022;variacao_absoluta_pop_2010_2022;taxa_crescimento_geometrico_pct;pib_mil_reais_2022;pib_mil_reais_2021;pib_per_capita_2022;variacao_pib_nominal_2021_2022_pct;vab_total_mil_reais_2021;vab_agropecuaria_mil_reais_2021;participacao_agropecuaria_2021_pct;vab_industria_mil_reais_2021;participacao_industria_2021_pct;vab_servicos_mil_reais_2021;participacao_servicos_2021_pct;vab_adm_publica_mil_reais_2021;participacao_adm_publica_2021_pct;perfil_setorial_dominante;cempre_unidades_locais;cempre_empresas;cempre_pessoal_ocupado_total;cempre_pessoal_ocupado_assalariado;proporcao_assalariados_pct;unidades_locais_por_mil_hab;intensidade_ocupacao_formal_pct;cempre_salarios_mil_reais_2022;cempre_salario_medio_mensal_reais;salarios_por_assalariado_mil_reais
2300101;Abaiara;10038.0;-418.0;-0.34;126794;117971.0;12631.400677425781;7.478956692746523;112712.0;23663.0;20.99;3053.0;2.71;29093.0;25.81;56904.0;50.49;Adm_publica;125.0;122.0;1184.0;1080.0;91.21621621621621;12.452679816696554;11.795178322374975;25670.0;2283.58;23.76851851851852
2300150;Acarape;14027.0;366.0;0.22;183507;179994.0;13082.412490197476;1.951731724390813;168763.0;9312.0;5.52;34204.0;20.27;57169.0;33.88;68079.0;40.34;Adm_publica;239.0;232.0;1936.0;1708.0;88.22314049586777;17.038568475083768;13.801953375632708;38919.0;1794.11;22.786299765807964
2300200;Acaraú;65264.0;8074.0;1.11;1184672;1020201.0;18151.998038734982;16.12143097291612;953527.0;133170.0;13.97;264942.0;27.79;289733.0;30.39;265682.0;27.86;Servicos;1164.0;1116.0;6296.0;4961.0;78.79606099110546;17.835253738661436;9.646972297131649;164309.0;2273.63;33.12013706913929
2300309;Acopiara;44962.0;-6309.0;-1.09;604192;564520.0;13437.83639517815;7.027563239566358;526631.0;145254.0;27.58;19614.0;3.72;171031.0;32.48;190733.0;36.22;Adm_publica;939.0;904.0;3840.0;2937.0;76.484375;20.884302299719764;8.540545349406166;76738.0;2022.61;26.12802179094314
2300408;Aiuaba;14076.0;-2127.0;-1.17;146744;151596.0;10425.12077294686;-3.2006121533549696;146248.0;34133.0;23.34;3098.0;2.12;33933.0;23.2;75084.0;51.34;Adm_publica;221.0;218.0;1457.0;1259.0;86.41043239533288;15.70048309178744;10.350951974992896;24337.0;1455.29;19.330420969023034
2300507;Alcântaras;11369.0;492.0;0.37;105770;98202.0;9303.368809921716;7.706564021099367;94203.0;8402.0;8.92;4789.0;5.08;26247.0;27.86;54764.0;58.13;Adm_publica;192.0;191.0;977.0;802.0;82.08802456499488;16.888028850382618;8.593543847304073;20117.0;1799.64;25.08354114713217
2300606;Altaneira;6782.0;-74.0;-0.09;82201;74654.0;12120.465939250958;10.109304256972166;72082.0;9574.0;13.28;2561.0;3.55;19194.0;26.63;40753.0;56.54;Adm_publica;125.0;125.0;663.0;567.0;85.52036199095022;18.43114125626659;9.775877322323797;17607.0;1858.19;31.052910052910054
2300705;Alto Santo;14155.0;-1095.0;-0.62;240389;232268.0;16982.620981985165;3.4963920987824406;221396.0;72845.0;32.9;10252.0;4.63;56941.0;25.72;81358.0;36.75;Adm_publica;368.0;357.0;1890.0;1471.0;77.83068783068782;25.997880607559168;13.352172377251856;35695.0;1837.88;24.265805574439156
2300754;Amontada;42156.0;2984.0;0.61;684586;665472.0;16239.349084353355;2.872247066743604;626991.0;54293.0;8.66;226018.0;36.05;147238.0;23.48;199442.0;31.81;Industria;753.0;737.0;4193.0;3389.0;80.82518483186263;17.86222601764873;9.94638960053136;105421.0;2214.68;31.10681616996164
2300804;Antonina do Norte;7245.0;261.0;0.31;89238;78953.0;12317.184265010352;13.026737426063608;74388.0;5681.0;7.64;2950.0;3.97;25682.0;34.52;40074.0;53.87;Adm_publica;160.0;156.0;751.0;629.0;83.75499334221038;22.084195997239476;10.365769496204278;16917.0;2087.79;26.895071542130367
